species;xcoord;ycoord
ANGFRA;639822.9365;6208927.882
ANGFRA;649798.0657;6195910.654
ANGFRA;819146.9956;6309390.728
ANGFRA;801648.9635;6292694.766
ANGFRA;785260.8464;6286891.935
ANGFRA;700814.3425;6172798.185
ANGFRA;777136.2688;6332347.917
ANGFRA;809055.8985;6273213.484
ANGFRA;700610.0518;6172275.014
ANGFRA;676422.5838;6207444.635
ANGFRA;808634.746;6308486.265
ANGFRA;689581.4554;6189068.223
ANGFRA;803819.84;6324281.947
ANGFRA;715834.047;6289882.984
ANGFRA;753646.6796;6305776.614
ANGFRA;763135.6515;6292219.866
ANGFRA;681329.1343;6171323.47
ANGFRA;806032.0247;6313707.909
ANGFRA;806037.9202;6313701.743
ANGFRA;806030.9692;6313705.062
ANGFRA;752885.7904;6283049.12
ANGFRA;766052.595;6290259.29
ANGFRA;768480.2507;6291153.719
ANGFRA;822076.9799;6362114.013
ANGFRA;687037.4585;6207214.833
ANGFRA;694952.3485;6192558.164
ANGFRA;723237.3916;6248962.004
ANGFRA;723237.3916;6248962.004
ANGFRA;695165.199;6192550.545
ANGFRA;834451.6162;6387630.218
ANGFRA;809333.006;6382317.021
ANGFRA;781982.0421;6312401.522
ANGFRA;791983.6511;6329996.092
CHASTR;760445.2475;6297462.159
CHASTR;649927.9858;6219216.047
CHASTR;649892.6118;6219185.19
CHASTR;761631.1433;6300633.694
CHASTR;761531.9548;6300395.358
CHASTR;764888.1458;6272969.286
CHASTR;695440.469;6198685.612
CHASTR;695407.9655;6198629.478
CHASTR;695411.8253;6198652.605
CHASTR;695410.91;6198630.365
CHASTR;766171.2425;6272149.834
CHASTR;766142.2588;6272083.399
CHASTR;766152.1239;6272083.279
CHASTR;763529.3372;6300245.762
CHASTR;763574.2058;6300249.653
CHASTR;791265.8662;6331719.826
CHASTR;791265.8662;6331719.826
CHASTR;791411.2433;6332398.844
CHASTR;762149.7291;6301011.688
CHASTR;808467.0153;6320637.633
CHASTR;780944.4515;6287200.608
CHASTR;780927.241;6287228.286
CHASTR;779261.1547;6285852.494
CHASTR;779291.0222;6285844.753
CHASTR;790039.579;6291779.356
CHASTR;790671.7809;6291435.454
CHASTR;790540.9613;6291791.248
CHASTR;687725.8469;6159876.261
CHASTR;687895.7141;6160048.698
CHASTR;767552.2927;6272596.675
CHASTR;690582.757;6210080.666
CHASTR;829702.8828;6313344.586
CHASTR;717934.8401;6243806.297
CHASTR;717933.2161;6243806.292
CHASTR;717894.1157;6243850.65
CHASTR;790937.7124;6331572.694
CHASTR;687354.061;6199921.728
CHASTR;794782.8697;6366626.778
CHASTR;815594.5655;6317072.625
CHASTR;811767.1889;6316346.368
CHASTR;812397.8612;6316010.165
CHASTR;811416.8159;6317055.28
CHASTR;811423.172;6317049.006
CHASTR;811620.7363;6316800.721
CHASTR;634900.9499;6242833.688
CHASTR;790631.5615;6291482.171
CHASTR;790566.3461;6291825.73
CHASTR;707995.4541;6241688.471
CHASTR;719218.2942;6242293.706
CHASTR;763847.0344;6302319.179
CHASTR;803226.8529;6337197.119
CHASTR;762417.3944;6298432.851
CHASTR;706135.9998;6224157
CHASTR;726929.3585;6248187.982
CHASTR;715434.0607;6236488.24
CHASTR;802458.6734;6320938.507
CHASTR;750423.1025;6269248.925
CHASTR;727669.1976;6284790.623
CHASTR;709135.7024;6152485.689
CHASTR;682910.8201;6196460.857
CHASTR;677606.2514;6185064.394
CHASTR;706484.19;6155906.35
