"ID"	"alti_median"	"urbanisation_CORINE"
"ID299"	1002	0.0366561
"ID300"	1264.5	0
"ID301"	1204	0.00448355
"ID302"	1009.5	0
"ID303"	1073	0.00636777
"ID304"	1167	0.00431439
"ID305"	1180	0.00266629
"ID306"	1244	0
"ID307"	1047.5	0.00354768
"ID308"	725	0.00025852
"ID309"	470.5	0.01870634
"ID310"	205.5	0.05493524
"ID311"	118.5	0.06728103
"ID337"	1185	0.00311263520155782
"ID338"	1151.5	0
"ID339"	1027.5	0.01832881
"ID340"	1188.5	0
"ID341"	1363	0
"ID342"	1181.5	0
"ID343"	1015.5	0.0215293
"ID344"	1240.5	0.00278587
"ID345"	1199.5	0.00251333
"ID346"	670	0.02459126
"ID347"	579	0.01636498
"ID348"	657.5	0.00486575
"ID349"	459	0.07523876
"ID350"	196	0.03580633
"ID351"	267	0.01668531
"ID377"	1250	0.00357992032453196
"ID378"	1171	0
"ID379"	1048.5	0
"ID380"	1158	0
"ID381"	1355.5	0
"ID382"	1245.5	0.00289466
"ID383"	1221.5	0
"ID384"	1081	0.00424192
"ID385"	1163.5	0
"ID386"	666.5	0.00809001
"ID387"	348	0.11087507
"ID388"	321	0.03910354
"ID389"	478	0.00531497
"ID390"	176	0.07062666
"ID391"	159.5	0.03876087
"ID417"	1174	0
"ID418"	905.5	0.01136717
"ID419"	822	0.02902958
"ID420"	952	0.04369982
"ID421"	1038	0.00494757
"ID422"	1196.5	0.00618053
"ID423"	1147	0
"ID424"	918	0
"ID425"	682	0
"ID426"	429	0.00657937
"ID427"	223.5	0.02342929
"ID428"	298.5	0.02588459
"ID429"	254.5	0.00656833
"ID430"	86.5	0.15990004
"ID431"	203.5	0.02285604
"ID432"	403.5	0.00968785
"ID458"	731.5	0.02080424
"ID459"	874	0.00798504
"ID460"	962.5	0.00258427
"ID461"	1146	0
"ID462"	1366.5	0
"ID463"	1193.5	0
"ID464"	680.5	0.00353207
"ID465"	393	0.00906664
"ID466"	222	0.00926182
"ID467"	169	0.03903565
"ID468"	339	0.00645323
"ID469"	326	0.00322143
"ID470"	74.5	0.04330125
"ID471"	206	0.00886682
"ID472"	253	0.05243885
"ID498"	877.5	0.0057887247417826
"ID499"	870.5	0
"ID500"	943	0.00289472
"ID501"	831	0.01833216
"ID502"	1061.5	0.0030043
"ID503"	1211.5	0.0010695
"ID504"	523.5	0.00983407
"ID505"	343.5	0.00605324
"ID506"	205.5	0.01249054
"ID507"	221	0.01479284
"ID508"	292	0.00523471
"ID509"	165	0.0404615
"ID510"	53	0.10427629
"ID511"	120	0.02618764
"ID538"	880	0.0021206059032698
"ID539"	944.5	0
"ID540"	1011	0
"ID541"	955.5	0
"ID542"	891	0.00301803
"ID543"	664	0
"ID544"	453.5	0.01459918
"ID545"	359.5	0.0479963
"ID546"	173.5	0.06576114
"ID547"	201.5	0.01567205
"ID548"	210	0.00858323
"ID549"	116.5	0.05341439
"ID550"	49	0.06208669
"ID551"	110.5	0.02313979
"ID58"	584.5	0.014071868279031
"ID580"	1000	0.00320952
"ID581"	1040.5	0
"ID582"	608	0.00081753
"ID583"	442.5	0
"ID584"	427.5	0
"ID585"	219	0.21632136
"ID586"	184	0.04552358
"ID587"	297.5	0
"ID588"	207.5	0.00534708
"ID589"	107	0.07773446
"ID59"	454	0.06128556
"ID590"	38.5	0.05244464
"ID591"	53	0.12693321
"ID619"	862	0
"ID620"	1073	0.00612238320641566
"ID621"	1147	0.00430486
"ID622"	622.5	0.00351331
"ID623"	448.5	0.01662496
"ID624"	266	0.01858589
"ID625"	141.5	0.17890226
"ID626"	157	0.0236688
"ID627"	234	0.01321685
"ID628"	205.5	0.04002786
"ID629"	180.5	0.04357141
"ID630"	64	0.07807183
"ID631"	41	0.07648874
"ID632"	38.5	0.08126108
"ID633"	121	0.17349436
"ID660"	796	0.00350665873269512
"ID661"	523	0.04831564
"ID662"	403.5	0.00995647
"ID663"	361	0.02064085
"ID664"	175.5	0.00605333
"ID665"	116.5	0.03864269
"ID666"	112.5	0.04478045
"ID667"	99	0.04279357
"ID668"	109	0.0792928
"ID669"	142	0.04527548
"ID670"	99	0.06362326
"ID671"	23	0.31812626
"ID672"	39.5	0.17973769
"ID699"	742	0.00766141974103861
"ID70"	368	0.0432364856673584
"ID700"	696	0
"ID701"	569.5	0
"ID702"	227	0.0419651
"ID703"	257	0.00344018
"ID704"	153	0.03036071
"ID705"	109.5	0.01608307
"ID706"	141	0.03882051
"ID707"	146.5	0.15493959
"ID708"	121.5	0.11533995
"ID709"	43.5	0.05815156
"ID710"	36	0.04006782
"ID711"	23	0.09658698
"ID712"	51	0.09074557
"ID713"	75	0.11282353
"ID738"	685.5	0
"ID739"	695	0
"ID740"	656	0
"ID741"	527.5	0
"ID742"	227	0.01420866
"ID743"	222	0.02080891
"ID744"	124.5	0.01776986
"ID745"	64	0.07168083
"ID746"	89.5	0.09436321
"ID747"	45.5	0.2537899
"ID748"	58	0.12276389
"ID749"	27	0.05297514
"ID750"	8.5	0.06422123
"ID751"	54.5	0.06000689
"ID752"	64	0.03078362
"ID777"	540.5	0.00435352199443879
"ID778"	488.5	0.01502493
"ID779"	265	0.02491379
"ID780"	296.5	0.01631354
"ID781"	204.5	0.02421685
"ID782"	246	0.02805117
"ID783"	120	0.13291408
"ID784"	93	0.09476859
"ID785"	39	0.09546135
"ID786"	14	0.14484528
"ID787"	54	0.07548813
"ID788"	28	0.05071912
"ID789"	3	0.07339772
"ID790"	6	0.06752175
"ID791"	41	0.0403211
"ID792"	125	0.00827521
"ID793"	107	0.05298575
"ID814"	799	0.0100103256282138
"ID815"	945	0
"ID816"	926	0.00291436997997434
"ID817"	379.5	0.03796708
"ID818"	338	0.01841197
"ID819"	240	0.00268265
"ID820"	86	0.08659907
"ID821"	118	0.04245054
"ID822"	158	0.04482222
"ID823"	70	0.41513772
"ID824"	29.5	0.24686455
"ID825"	4	0.08068438
"ID826"	4	0.02794361
"ID827"	2	0.00348963
"ID828"	3	0
"ID829"	2	0.00300304
"ID830"	4	0.02081038
"ID831"	22	0.04643801
"ID832"	47	0.01873328
"ID833"	67	0.17263461
"ID835"	247.5	0.09623873
"ID854"	892	0
"ID855"	505.5	0.00279495
"ID856"	329.5	0.00472778
"ID857"	329	0.00884247
"ID858"	221	0.02307891
"ID859"	149.5	0.04094169
"ID860"	60	0.05083499
"ID861"	140	0.03407703
"ID862"	83	0.05729904
"ID863"	21	0.102825119006015
"ID864"	0	0.149217098562255
"ID866"	1	0.0628326122254298
"ID867"	1	0
"ID868"	1	0
"ID869"	0	0
"ID870"	1	0.00341625
"ID871"	3	0
"ID872"	22	0.08737817
"ID894"	541	0.0104868438689174
"ID895"	532.5	0
"ID896"	188.5	0.01630492
"ID897"	120.5	0.01516757
"ID898"	101	0.0776149
"ID899"	67	0.06050726
"ID900"	41.5	0.06504738
"ID901"	33	0.04004796
"ID902"	16	0.17216085674667
"ID909"	1	0
"ID910"	1	0.01344706
"ID911"	1	0.0160478148065013
"ID912"	2	0.164111133169314
"ID913"	38	0.247118229374544
"ID927"	202.5	0.0113483533788469
"ID928"	189	0.0255865782052818
"ID929"	348.5	0.00380224245339743
"ID930"	489	0.0107561095824624
"ID931"	461.5	0.00605615
"ID932"	537.5	0.00619358
"ID933"	410.5	0.00437939
"ID934"	330.5	0.00070087
"ID935"	204.5	0.00827999
"ID936"	137	0.02257315
"ID937"	67.5	0.06566387
"ID938"	43.5	0.21116776
"ID939"	32.5	0.03644379
"ID940"	11	0.06130201
"ID941"	1	0.0596554408623764
"ID951"	0	0.0167999056720197
"ID953"	50	0.107232083949634
"ID967"	284.5	0.00140871
"ID968"	173	0.02421268
"ID969"	147.5	0.0371199
"ID970"	138	0.03165342
"ID971"	143.5	0.09142708
"ID972"	148.5	0.02678707
"ID973"	94	0.01981988
"ID974"	59.5	0.03904882
"ID975"	60.5	0.03664104
"ID976"	22.5	0.09080388
"ID977"	8.5	0.0694095
"ID978"	16.5	0.0421750172359784
"ID979"	4	0.118262424332547
