"HIEVIR"	"LACBIL"	"NATMAU"	"NATNAT"	"PODMUR"	"ZAMLON"	"CORGIR"	"ANGFRA"	"MALMON"	"PODLIO"	"RHISCA"	"VIPASP"	"CHASTR"	"TARMAU"	"TIMLEP"	"PSAALG"	"PSAEDW"	"EMYORB"	"MAULEP"	"CORAUS"	"HEMTUR"	"ZOOVIV"	"LACAGI"	"VIPBER"
"ID1292"	0	30	4	3	43	2	4	22	4	1	0	3	0	22	0	5	0	0	0	0	0	0	0	0
"ID1293"	0	10	3	2	10	4	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID1294"	0	0	1	0	0	0	0	0	5	4	0	0	0	6	5	2	0	0	0	0	0	0	0	0
"ID1295"	0	12	32	10	6	3	1	6	50	119	13	0	3	27	24	164	0	4	194	0	0	0	0	0
"ID1296"	0	0	10	3	1	1	0	2	15	36	1	0	0	13	6	18	0	0	0	0	0	0	0	0
"ID1328"	2	3	0	10	33	0	1	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"ID1329"	1	1	0	0	16	0	0	3	0	1	0	5	0	0	1	0	0	0	0	0	0	0	13	0
"ID1330"	0	0	1	0	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"ID1331"	3	1	7	0	53	0	3	1	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0
"ID1332"	0	4	1	2	5	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"ID1333"	0	2	0	0	9	0	0	1	3	3	0	1	0	10	0	0	0	0	0	0	0	0	0	0
"ID1334"	0	2	3	4	1	2	0	2	4	8	1	0	0	6	6	3	0	0	0	0	0	0	0	0
"ID1335"	0	6	7	2	8	3	0	1	9	14	0	0	0	17	6	49	0	0	2	0	0	0	0	0
"ID1337"	0	9	70	9	3	1	4	6	16	15	9	0	2	78	58	69	0	0	199	0	1	0	0	0
"ID1372"	3	6	0	1	18	2	0	2	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0
"ID1373"	0	6	1	2	14	2	0	1	0	4	0	1	0	4	0	0	0	0	0	0	0	0	0	0
"ID148"	0	2	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID149"	9	11	2	2	3	1	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
"ID150"	8	25	1	1	20	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID151"	2	10	2	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID185"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID187"	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0
"ID188"	5	8	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID189"	5	7	2	1	8	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID190"	7	9	2	0	8	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID191"	12	12	9	4	24	3	5	0	0	3	0	4	0	0	1	0	0	0	0	0	0	0	0	0
"ID192"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID226"	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	8
"ID227"	4	4	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID228"	5	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ID229"	5	4	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ID230"	5	8	0	3	3	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ID231"	10	54	2	4	45	4	2	0	0	2	0	8	0	0	4	0	0	0	0	0	0	0	0	0
"ID258"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ID259"	0	0	0	8	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	1
"ID260"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"ID261"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ID262"	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID263"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID265"	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	11	1	0
"ID266"	5	8	0	2	14	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	21	5	17
"ID267"	9	60	23	12	45	0	0	1	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0
"ID268"	4	16	15	7	20	2	2	1	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"ID269"	4	24	11	5	29	10	3	0	0	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"ID270"	4	10	0	1	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"ID271"	13	51	7	4	34	2	0	0	0	0	0	5	0	0	2	0	0	2	0	0	0	0	0	0
"ID297"	0	0	0	1	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	8	1	2
"ID298"	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
"ID299"	0	0	1	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	1
"ID300"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	17	7	7
"ID301"	0	2	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	3	13
"ID302"	0	16	10	3	8	0	0	3	0	0	0	17	0	0	0	0	0	0	0	4	0	0	3	3
"ID303"	0	2	1	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2
"ID304"	0	4	0	7	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	37	2	1
"ID305"	2	7	0	12	13	0	0	4	0	0	0	2	0	0	0	0	0	0	0	2	0	29	7	2
"ID306"	3	2	1	10	4	0	0	4	0	0	0	2	0	0	0	0	0	0	0	5	0	34	12	10
"ID307"	4	22	4	1	16	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1
"ID308"	12	37	20	11	45	8	2	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0
"ID309"	17	32	29	11	29	24	18	2	1	23	0	11	0	0	4	0	0	0	0	0	0	0	0	0
"ID310"	20	71	21	6	84	7	6	1	1	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0
"ID311"	8	11	5	0	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID337"	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	6	2	6
"ID338"	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	5
"ID339"	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	8	0
"ID340"	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2
"ID341"	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	12
"ID342"	1	1	6	10	7	0	0	3	0	0	0	2	0	0	0	0	0	0	0	16	0	5	10	38
"ID343"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	6	9
"ID344"	0	0	0	9	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	10	1	8
