"ID"	"area"	"X_centro"	"Y_centro"	"centrodata_X"	"centrodata_Y"
"48"	"ID1173"	1e+08	666450.876703	6191297.18568999	667297.253046544	6192099.44131782
"49"	"ID1174"	1e+08	676450.876703	6191297.18568999	677290.445313627	6194438.85109274
"50"	"ID1175"	1e+08	686450.876703	6191297.18568999	689307.684889331	6191591.64283588
"51"	"ID1176"	1e+08	696450.876703	6191297.18568999	695062.09938236	6191777.34297039
"52"	"ID1210"	99065607.0316047	636494.99992321	6181338.23283477	635443.823689599	6179581.22386359
"53"	"ID1211"	1e+08	646450.876703	6181297.18568999	644609.191947205	6183061.03725579
"54"	"ID1212"	1e+08	656450.876703	6181297.18568999	656506.157686665	6180277.7157667
"55"	"ID1213"	1e+08	666450.876703	6181297.18568999	666281.549388196	6180758.97330032
"56"	"ID1214"	1e+08	676450.876703	6181297.18568999	677435.404658297	6181524.05834857
"57"	"ID1215"	1e+08	686450.876703	6181297.18568999	686045.972527511	6180957.96651636
"58"	"ID1216"	1e+08	696450.876703	6181297.18568999	695949.208549047	6181186.38626951
"59"	"ID1249"	80484551.1653932	626459.29622677	6170324.74894983	627273.828648391	6170749.72533039
"60"	"ID1250"	99141283.4102454	636491.28291914	6171258.92883707	638626.279569679	6170659.88403691
"61"	"ID1251"	1e+08	646450.876703	6171297.18568999	644459.632554018	6169606.34030969
"62"	"ID1252"	1e+08	656450.876703	6171297.18568999	657765.936329414	6170401.52735201
"63"	"ID1253"	1e+08	666450.876703	6171297.18568999	665071.953365453	6172568.2989629
"64"	"ID1254"	1e+08	676450.876703	6171297.18568999	677900.471072248	6170251.57523321
"65"	"ID1255"	1e+08	686450.876703	6171297.18568999	686420.813217836	6170271.55640161
"66"	"ID1256"	1e+08	696450.876703	6171297.18568999	695525.003029581	6172212.08744093
"67"	"ID1287"	93776741.3020778	606607.89517485	6161002.59361561	603948.176736813	6162221.45360549
"68"	"ID1288"	1e+08	616450.876703	6161297.18568999	617503.676159756	6161770.80312848
"69"	"ID1289"	1e+08	626450.876703	6161297.18568999	625362.530750272	6161480.77120097
"70"	"ID1290"	1e+08	636450.876703	6161297.18568999	637998.923165637	6162443.77943498
"71"	"ID1291"	1e+08	646450.876703	6161297.18568999	645331.326135115	6162497.14901803
"72"	"ID1292"	1e+08	656450.876703	6161297.18568999	653154.364284302	6164266.85915912
"73"	"ID1293"	1e+08	666450.876703	6161297.18568999	664446.868255343	6161319.79537434
"74"	"ID1294"	1e+08	676450.876703	6161297.18568999	678917.005318113	6160123.53690596
"75"	"ID1295"	1e+08	686450.876703	6161297.18568999	687191.922688719	6159989.30780295
"76"	"ID1296"	1e+08	696450.876703	6161297.18568999	695056.981010915	6159627.15482825
"77"	"ID1328"	91754842.9722611	616923.60164014	6151453.8650211	616063.009618968	6153216.10073658
"78"	"ID1329"	97826263.5810094	626365.31179057	6151398.70875699	623917.657692078	6152271.62557201
"79"	"ID1330"	86777875.2007691	636264.15398309	6151929.05342609	637538.715770602	6153934.29140078
"80"	"ID1331"	96481236.414656	646578.37706446	6151457.43344834	644860.373839882	6153540.03658905
"81"	"ID1332"	1e+08	656450.876703	6151297.18568999	657645.109342692	6149573.27353041
"82"	"ID1333"	1e+08	666450.876703	6151297.18568999	666781.694173282	6150908.67654365
"83"	"ID1334"	96914772.8817313	676386.40415936	6151443.65185347	677746.442763945	6154183.94217838
"84"	"ID1335"	68655672.7116637	685672.51452436	6152584.57428691	686448.656933902	6154102.621023
"85"	"ID1337"	67456377.8020931	706973.00215146	6152493.52509453	707699.378886825	6152142.55432646
"86"	"ID1372"	63559098.4383602	657482.39564059	6142677.19692875	657424.689588309	6143345.77163455
"87"	"ID1373"	75423998.0438146	666454.05942108	6142480.37543796	669185.751051435	6141703.40285306
"88"	"ID148"	1e+08	816450.876703	6451297.18568999	818517.739758866	6452712.4581372
"89"	"ID149"	1e+08	826450.876703	6451297.18568999	826658.52260969	6452071.91041475
"90"	"ID150"	1e+08	836450.876703	6451297.18568999	835911.29612129	6450143.84879495
"91"	"ID151"	1e+08	846450.876703	6451297.18568999	845540.450241334	6451189.84104285
"92"	"ID185"	1e+08	786450.876703	6441297.18568999	788282.426493769	6445205.96920375
"93"	"ID187"	1e+08	806450.876703	6441297.18568999	808914.312607768	6440708.22533941
"94"	"ID188"	1e+08	816450.876703	6441297.18568999	818145.074204468	6441744.63179337
"95"	"ID189"	1e+08	826450.876703	6441297.18568999	826521.181867003	6441909.10237401
"96"	"ID190"	1e+08	836450.876703	6441297.18568999	835883.468837311	6442104.56660475
"97"	"ID191"	1e+08	846450.876703	6441297.18568999	843764.005412371	6439486.16736988
"98"	"ID192"	1e+08	856450.876703	6441297.18568999	853480.304828624	6438594.5848417
"99"	"ID226"	1e+08	796450.876703	6431297.18568999	796216.230997041	6430254.13575574
"100"	"ID227"	1e+08	806450.876703	6431297.18568999	807504.737410337	6430382.58408643
"101"	"ID228"	1e+08	816450.876703	6431297.18568999	816659.324450294	6429692.60291096
"102"	"ID229"	1e+08	826450.876703	6431297.18568999	826497.631417177	6431872.78092913
"103"	"ID230"	1e+08	836450.876703	6431297.18568999	838327.809176995	6431530.66253829
"104"	"ID231"	1e+08	846450.876703	6431297.18568999	845628.235669277	6429865.66723885
"105"	"ID258"	52590196.2317505	717545.05918421	6419648.13588922	718868.074641349	6420008.31595435
"106"	"ID259"	98417908.6360754	726518.22619497	6421224.1979155	727605.553509033	6416911.30220653
"107"	"ID260"	1e+08	736450.876703	6421297.18568999	732721.603896417	6421411.76013312
"108"	"ID261"	1e+08	746450.876703	6421297.18568999	749431.354886944	6417843.74476521
"109"	"ID262"	1e+08	756450.876703	6421297.18568999	754959.422811744	6417169.8933394
"110"	"ID263"	1e+08	766450.876703	6421297.18568999	767963.351059775	6417776.20907452
"111"	"ID265"	1e+08	786450.876703	6421297.18568999	787109.781500816	6421146.03911108
"112"	"ID266"	1e+08	796450.876703	6421297.18568999	795165.811447956	6420993.99853673
"113"	"ID267"	1e+08	806450.876703	6421297.18568999	806396.187277643	6418547.68885111
"114"	"ID268"	1e+08	816450.876703	6421297.18568999	818108.570903782	6420747.9779316
"115"	"ID269"	1e+08	826450.876703	6421297.18568999	825938.00818675	6420148.60784356
"116"	"ID270"	1e+08	836450.876703	6421297.18568999	837414.811041874	6421088.71067117
"117"	"ID271"	1e+08	846450.876703	6421297.18568999	845683.813948712	6422376.13632724
"118"	"ID297"	67408515.8466046	707921.27872576	6410752.61086747	708031.27756049	6409702.12755778
"119"	"ID298"	1e+08	716450.876703	6411297.18568999	715860.612295994	6407544.63586145
"120"	"ID299"	1e+08	726450.876703	6411297.18568999	726566.340947687	6411607.68101028
"121"	"ID300"	1e+08	736450.876703	6411297.18568999	736364.506266992	6412165.7085228
"122"	"ID301"	1e+08	746450.876703	6411297.18568999	746748.179066008	6409837.87468065
"123"	"ID302"	1e+08	756450.876703	6411297.18568999	756371.34282717	6411706.01675171
"124"	"ID303"	1e+08	766450.876703	6411297.18568999	762911.150952031	6409446.09402732
"125"	"ID304"	1e+08	776450.876703	6411297.18568999	777882.775279595	6408481.4574278
"126"	"ID305"	1e+08	786450.876703	6411297.18568999	786394.920546894	6411316.94181392
"127"	"ID306"	1e+08	796450.876703	6411297.18568999	795586.985874623	6413038.68099414
"128"	"ID307"	1e+08	806450.876703	6411297.18568999	806860.985921756	6409938.10596206
"129"	"ID308"	1e+08	816450.876703	6411297.18568999	816871.395863233	6413586.20263986
"130"	"ID309"	1e+08	826450.876703	6411297.18568999	826247.099546401	6413081.48889548
"131"	"ID310"	1e+08	836450.876703	6411297.18568999	838440.140663329	6411536.46726679
"132"	"ID311"	1e+08	846450.876703	6411297.18568999	842425.821267538	6414857.92554201
"133"	"ID337"	94732913.0803452	706694.57754778	6401153.27463545	708194.240317942	6400507.60923929
"134"	"ID338"	1e+08	716450.876703	6401297.18568999	715152.642891233	6401755.91766585
"135"	"ID339"	1e+08	726450.876703	6401297.18568999	724461.693982064	6404962.08683026
"136"	"ID340"	1e+08	736450.876703	6401297.18568999	737297.104007036	6402632.69518457
"137"	"ID341"	1e+08	746450.876703	6401297.18568999	745204.490073933	6402514.42043941
"138"	"ID342"	1e+08	756450.876703	6401297.18568999	756286.439902547	6401948.98415963
"139"	"ID343"	1e+08	766450.876703	6401297.18568999	765918.228615776	6402821.57721088
"140"	"ID344"	1e+08	776450.876703	6401297.18568999	776326.255678245	6403812.45984093
"141"	"ID345"	1e+08	786450.876703	6401297.18568999	786741.23729032	6401188.74613863
"142"	"ID346"	1e+08	796450.876703	6401297.18568999	796627.103813501	6402391.58121937
"143"	"ID347"	1e+08	806450.876703	6401297.18568999	807750.014296613	6400835.69743117
"144"	"ID348"	1e+08	816450.876703	6401297.18568999	818313.72907072	6402814.64202733
"145"	"ID349"	1e+08	826450.876703	6401297.18568999	826948.521378349	6400907.04859413
"146"	"ID350"	1e+08	836450.876703	6401297.18568999	836064.358560288	6401643.92591931
"147"	"ID351"	1e+08	846450.876703	6401297.18568999	842881.864278237	6401717.07733713
"148"	"ID377"	92322445.7637085	706754.66295629	6391607.07233023	706410.668656703	6391520.65058402
"149"	"ID378"	1e+08	716450.876703	6391297.18568999	716505.749591774	6392025.80657875
"150"	"ID379"	1e+08	726450.876703	6391297.18568999	726279.029365726	6389133.84119391
"151"	"ID380"	1e+08	736450.876703	6391297.18568999	736796.28070076	6391976.36912313
"152"	"ID381"	1e+08	746450.876703	6391297.18568999	744830.077770263	6391638.29874142
"153"	"ID382"	1e+08	756450.876703	6391297.18568999	755941.178178845	6393633.03868885
"154"	"ID383"	1e+08	766450.876703	6391297.18568999	765758.046128406	6390956.30407822
"155"	"ID384"	1e+08	776450.876703	6391297.18568999	777011.935671133	6391702.6571185
"156"	"ID385"	1e+08	786450.876703	6391297.18568999	786429.751796626	6391800.67749603
"157"	"ID386"	1e+08	796450.876703	6391297.18568999	798033.519208723	6392004.75172079
"158"	"ID387"	1e+08	806450.876703	6391297.18568999	809235.500443085	6392462.69352954
"159"	"ID388"	1e+08	816450.876703	6391297.18568999	816156.147968723	6391007.25658871
"160"	"ID389"	1e+08	826450.876703	6391297.18568999	825044.412392135	6391516.4530982
"161"	"ID390"	1e+08	836450.876703	6391297.18568999	835996.070954394	6389892.9996072
"162"	"ID391"	1e+08	846450.876703	6391297.18568999	842587.825214697	6391803.05332751
"163"	"ID417"	53302734.7104743	708773.31516827	6381258.12833549	709607.529354759	6383532.53439814
"164"	"ID418"	1e+08	716450.876703	6381297.18568999	716131.888729749	6380413.16872833
"165"	"ID419"	1e+08	726450.876703	6381297.18568999	724800.887032541	6383321.67913515
"166"	"ID420"	1e+08	736450.876703	6381297.18568999	735664.261649993	6382374.77510863
"167"	"ID421"	1e+08	746450.876703	6381297.18568999	745483.26984927	6379731.66903895
"168"	"ID422"	1e+08	756450.876703	6381297.18568999	753723.421387341	6378946.07526746
"169"	"ID423"	1e+08	766450.876703	6381297.18568999	765927.51388446	6378856.48862473
"170"	"ID424"	1e+08	776450.876703	6381297.18568999	778562.521039265	6379918.89368793
"171"	"ID425"	1e+08	786450.876703	6381297.18568999	785742.29329151	6382287.65762836
"172"	"ID426"	1e+08	796450.876703	6381297.18568999	797095.982655471	6380614.12526026
"173"	"ID427"	1e+08	806450.876703	6381297.18568999	807089.652625259	6381704.45091553
"174"	"ID428"	1e+08	816450.876703	6381297.18568999	813545.949577209	6381727.94662157
"175"	"ID429"	1e+08	826450.876703	6381297.18568999	829572.480983507	6380776.13619391
"176"	"ID430"	1e+08	836450.876703	6381297.18568999	834277.517507047	6379523.30676618
"177"	"ID431"	1e+08	846450.876703	6381297.18568999	847898.959768564	6381402.26296862
"178"	"ID432"	1e+08	856450.876703	6381297.18568999	853123.240614461	6376967.84599192
"179"	"ID458"	1e+08	716450.876703	6371297.18568999	715161.205961726	6372731.20996211
"180"	"ID459"	1e+08	726450.876703	6371297.18568999	727281.325587343	6369611.36448636
"181"	"ID460"	1e+08	736450.876703	6371297.18568999	735905.523729828	6371949.63782929
"182"	"ID461"	1e+08	746450.876703	6371297.18568999	747133.862092024	6371815.66025436
"183"	"ID462"	1e+08	756450.876703	6371297.18568999	758957.850025696	6370066.69859103
"184"	"ID463"	1e+08	766450.876703	6371297.18568999	766407.697264125	6370519.1902117
"185"	"ID464"	1e+08	776450.876703	6371297.18568999	776671.506244441	6372572.02282626
"186"	"ID465"	1e+08	786450.876703	6371297.18568999	787637.948986585	6368675.38017861
"187"	"ID466"	1e+08	796450.876703	6371297.18568999	796899.909249008	6369401.47726998
"188"	"ID467"	1e+08	806450.876703	6371297.18568999	805133.464778188	6372225.43462333
"189"	"ID468"	1e+08	816450.876703	6371297.18568999	816317.255382271	6370219.74482468
"190"	"ID469"	1e+08	826450.876703	6371297.18568999	824963.453812055	6369605.30094405
"191"	"ID470"	1e+08	836450.876703	6371297.18568999	835110.883937416	6371972.03223854
"192"	"ID471"	1e+08	846450.876703	6371297.18568999	843072.646573033	6371933.56883139
"193"	"ID472"	1e+08	856450.876703	6371297.18568999	856719.580025208	6370595.4400016
"194"	"ID498"	98167044.6166365	716537.77534604	6361362.85301388	717097.785128391	6359327.76467136
"195"	"ID499"	1e+08	726450.876703	6361297.18568999	727289.824941873	6360439.25869674
"196"	"ID500"	1e+08	736450.876703	6361297.18568999	736521.78810794	6361784.91682097
"197"	"ID501"	1e+08	746450.876703	6361297.18568999	746465.585684535	6361508.38577049
"198"	"ID502"	1e+08	756450.876703	6361297.18568999	756249.559745927	6362216.86101186
"199"	"ID503"	1e+08	766450.876703	6361297.18568999	766295.375485613	6362187.14346132
"200"	"ID504"	1e+08	776450.876703	6361297.18568999	775769.182864849	6360671.02547857
"201"	"ID505"	1e+08	786450.876703	6361297.18568999	786482.271195546	6363077.62096177
"202"	"ID506"	1e+08	796450.876703	6361297.18568999	794647.75451617	6362756.99542513
"203"	"ID507"	1e+08	806450.876703	6361297.18568999	807770.308745084	6360552.67878173
"204"	"ID508"	1e+08	816450.876703	6361297.18568999	816564.45907683	6362537.02528421
"205"	"ID509"	1e+08	826450.876703	6361297.18568999	825300.874356974	6361245.19302381
"206"	"ID510"	1e+08	836450.876703	6361297.18568999	838091.240620555	6362179.6693461
"207"	"ID511"	1e+08	846450.876703	6361297.18568999	841813.937561142	6363627.68576992
"208"	"ID538"	76986487.5638935	717165.14907198	6352169.34856797	717054.231041693	6352288.98620524
"209"	"ID539"	1e+08	726450.876703	6351297.18568999	725137.165334595	6353086.04289897
"210"	"ID540"	1e+08	736450.876703	6351297.18568999	736434.223407316	6350709.54798503
"211"	"ID541"	1e+08	746450.876703	6351297.18568999	746103.856657782	6350216.50389654
"212"	"ID542"	1e+08	756450.876703	6351297.18568999	756452.749476386	6351180.05912444
"213"	"ID543"	1e+08	766450.876703	6351297.18568999	764897.658592862	6351264.81512073
"214"	"ID544"	1e+08	776450.876703	6351297.18568999	777678.795353746	6352115.0532417
"215"	"ID545"	1e+08	786450.876703	6351297.18568999	786184.570026566	6349523.29533302
"216"	"ID546"	1e+08	796450.876703	6351297.18568999	796152.854419248	6350737.16465226
"217"	"ID547"	1e+08	806450.876703	6351297.18568999	806442.99095087	6351517.9261063
"218"	"ID548"	1e+08	816450.876703	6351297.18568999	815999.563300008	6348687.26606772
"219"	"ID549"	1e+08	826450.876703	6351297.18568999	824326.600888966	6350685.39481782
"220"	"ID550"	1e+08	836450.876703	6351297.18568999	834302.986733997	6348540.05332226
"221"	"ID551"	1e+08	846450.876703	6351297.18568999	842750.755270888	6353185.23120097
"222"	"ID58"	83399586.8017614	716956.91373991	6470607.55868951	713740.495099808	6467559.49307883
"223"	"ID580"	1e+08	736450.876703	6341297.18568999	738254.591715405	6342670.21485996
"224"	"ID581"	1e+08	746450.876703	6341297.18568999	746264.842878272	6340735.90940837
"225"	"ID582"	1e+08	756450.876703	6341297.18568999	754833.281983877	6342529.29278961
"226"	"ID583"	1e+08	766450.876703	6341297.18568999	766355.625999185	6341774.48938315
"227"	"ID584"	1e+08	776450.876703	6341297.18568999	776237.247122051	6340952.69878241
"228"	"ID585"	1e+08	786450.876703	6341297.18568999	786346.796997273	6340855.92791323
"229"	"ID586"	1e+08	796450.876703	6341297.18568999	797544.53121868	6339894.09231596
"230"	"ID587"	1e+08	806450.876703	6341297.18568999	808447.723107628	6340524.76343203
"231"	"ID588"	1e+08	816450.876703	6341297.18568999	816923.535680744	6341379.61831808
"232"	"ID589"	1e+08	826450.876703	6341297.18568999	826511.733624469	6341066.86561292
"233"	"ID59"	1e+08	726450.876703	6471297.18568999	725005.032944217	6470709.05360489
"234"	"ID590"	1e+08	836450.876703	6341297.18568999	836378.861670607	6340830.87422265
"235"	"ID591"	1e+08	846450.876703	6341297.18568999	844341.513238045	6338436.54609579
"236"	"ID619"	54617863.8782113	727639.05389612	6332463.48060244	729133.930006815	6331657.37462907
"237"	"ID620"	97896518.364275	736536.10175159	6331394.78234833	738087.446681411	6330915.19248918
"238"	"ID621"	1e+08	746450.876703	6331297.18568999	747051.708307885	6331034.28282057
"239"	"ID622"	1e+08	756450.876703	6331297.18568999	755431.522215622	6329684.31388484
"240"	"ID623"	1e+08	766450.876703	6331297.18568999	767504.211168113	6332211.63906524
"241"	"ID624"	1e+08	776450.876703	6331297.18568999	778195.567095386	6330938.34208815
"242"	"ID625"	1e+08	786450.876703	6331297.18568999	786612.737216376	6331283.86281476
"243"	"ID626"	1e+08	796450.876703	6331297.18568999	796843.122252557	6331538.6897437
"244"	"ID627"	1e+08	806450.876703	6331297.18568999	807701.463803428	6331973.37789762
"245"	"ID628"	1e+08	816450.876703	6331297.18568999	817282.117403742	6330873.51961717
"246"	"ID629"	1e+08	826450.876703	6331297.18568999	825104.728157687	6330277.51469983
"247"	"ID630"	1e+08	836450.876703	6331297.18568999	837534.123318426	6331511.54337681
"248"	"ID631"	1e+08	846450.876703	6331297.18568999	843752.781503695	6331813.03186521
"249"	"ID632"	1e+08	856450.876703	6331297.18568999	857153.462632777	6327710.030663
"250"	"ID633"	1e+08	866450.876703	6331297.18568999	861848.433091746	6328027.14705056
"251"	"ID660"	77288387.7957803	737388.2501635	6320698.51779166	736199.879309427	6319809.80334612
"252"	"ID661"	1e+08	746450.876703	6321297.18568999	746826.908081441	6321733.87821114
"253"	"ID662"	1e+08	756450.876703	6321297.18568999	755608.355044556	6322352.63386856
"254"	"ID663"	1e+08	766450.876703	6321297.18568999	766407.884978386	6320621.71566049
"255"	"ID664"	1e+08	776450.876703	6321297.18568999	776495.892700625	6319092.78648144
"256"	"ID665"	1e+08	786450.876703	6321297.18568999	784513.718259806	6321663.43686786
"257"	"ID666"	1e+08	796450.876703	6321297.18568999	796842.543524025	6321543.71243468
"258"	"ID667"	1e+08	806450.876703	6321297.18568999	805411.345049287	6320429.40017714
"259"	"ID668"	1e+08	816450.876703	6321297.18568999	815103.298439476	6319818.61884971
"260"	"ID669"	1e+08	826450.876703	6321297.18568999	825718.124638195	6321375.96211543
"261"	"ID670"	1e+08	836450.876703	6321297.18568999	837329.425906596	6321298.87113334
"262"	"ID671"	1e+08	846450.876703	6321297.18568999	844018.450235129	6322106.11575227
"263"	"ID672"	1e+08	856450.876703	6321297.18568999	854492.138021203	6323837.52576184
"264"	"ID699"	61690393.683603	727433.68836237	6309921.63988832	725233.70298332	6308121.28409007
"265"	"ID70"	64885962.7857771	835725.46179274	6470072.60479043	836409.178578508	6471981.97983916
"266"	"ID700"	1e+08	736450.876703	6311297.18568999	739052.604368816	6311711.78294331
"267"	"ID701"	1e+08	746450.876703	6311297.18568999	745736.531600945	6312135.47802724
"268"	"ID702"	1e+08	756450.876703	6311297.18568999	757112.62178616	6311286.97794328
"269"	"ID703"	1e+08	766450.876703	6311297.18568999	766491.143669858	6309863.9897593
"270"	"ID704"	1e+08	776450.876703	6311297.18568999	776678.379880778	6312527.69022075
"271"	"ID705"	1e+08	786450.876703	6311297.18568999	785695.712363008	6311705.52347675
"272"	"ID706"	1e+08	796450.876703	6311297.18568999	795530.375692928	6311951.36264608
"273"	"ID707"	1e+08	806450.876703	6311297.18568999	807001.503610074	6310662.42337237
"274"	"ID708"	1e+08	816450.876703	6311297.18568999	817109.482447652	6310409.803853
"275"	"ID709"	1e+08	826450.876703	6311297.18568999	827296.324139921	6310443.17040606
"276"	"ID710"	1e+08	836450.876703	6311297.18568999	837050.202305539	6313224.88975917
"277"	"ID711"	1e+08	846450.876703	6311297.18568999	846674.468658388	6312623.89729673
"278"	"ID712"	1e+08	856450.876703	6311297.18568999	859576.29944742	6309895.79506528
"279"	"ID713"	1e+08	866450.876703	6311297.18568999	862495.836319791	6313337.98865575
"280"	"ID738"	64584251.3388935	717014.35991731	6299751.55222558	716226.963635741	6300326.7595685
"281"	"ID739"	1e+08	726450.876703	6301297.18568999	725710.227623416	6301393.260015
"282"	"ID740"	1e+08	736450.876703	6301297.18568999	737055.31536174	6301588.43414945
"283"	"ID741"	1e+08	746450.876703	6301297.18568999	745249.219471198	6301818.21557656
"284"	"ID742"	1e+08	756450.876703	6301297.18568999	757784.387543009	6302289.81158471
"285"	"ID743"	1e+08	766450.876703	6301297.18568999	765430.361009856	6300645.35459231
"286"	"ID744"	1e+08	776450.876703	6301297.18568999	775756.567966633	6299058.77497234
"287"	"ID745"	1e+08	786450.876703	6301297.18568999	788252.12799877	6298748.12124115
"288"	"ID746"	1e+08	796450.876703	6301297.18568999	795916.659833872	6300287.18507647
"289"	"ID747"	1e+08	806450.876703	6301297.18568999	807851.713091227	6301089.23391284
"290"	"ID748"	1e+08	816450.876703	6301297.18568999	817308.63584924	6301328.2239367
"291"	"ID749"	1e+08	826450.876703	6301297.18568999	826173.616035122	6300529.70434498
"292"	"ID750"	1e+08	836450.876703	6301297.18568999	834177.244098583	6303551.53206517
"293"	"ID751"	1e+08	846450.876703	6301297.18568999	847305.571320739	6298798.2039451
"294"	"ID752"	1e+08	856450.876703	6301297.18568999	859306.215672833	6303329.99777872
"295"	"ID777"	73508759.2089343	707640.4673092	6290922.71265127	707758.904224543	6290341.72840772
"296"	"ID778"	1e+08	716450.876703	6291297.18568999	714124.070774794	6288787.32164553
"297"	"ID779"	1e+08	726450.876703	6291297.18568999	727309.751516425	6291045.77410844
"298"	"ID780"	1e+08	736450.876703	6291297.18568999	736753.304757511	6291231.8064841
"299"	"ID781"	1e+08	746450.876703	6291297.18568999	745968.275175225	6291016.47074926
"300"	"ID782"	1e+08	756450.876703	6291297.18568999	756662.197508819	6290828.54069409
"301"	"ID783"	1e+08	766450.876703	6291297.18568999	766055.307078166	6290585.28718785
"302"	"ID784"	1e+08	776450.876703	6291297.18568999	777591.219551123	6289794.13597072
"303"	"ID785"	1e+08	786450.876703	6291297.18568999	786125.350455128	6291201.97947797
"304"	"ID786"	1e+08	796450.876703	6291297.18568999	795247.217038523	6291351.91414728
"305"	"ID787"	1e+08	806450.876703	6291297.18568999	805689.858488031	6291421.56337205
"306"	"ID788"	1e+08	816450.876703	6291297.18568999	816675.285948692	6292961.69521358
"307"	"ID789"	1e+08	826450.876703	6291297.18568999	825671.294553637	6293159.59144478
"308"	"ID790"	1e+08	836450.876703	6291297.18568999	835392.244843196	6290773.00861108
"309"	"ID791"	1e+08	846450.876703	6291297.18568999	844781.343680029	6292488.08217166
"310"	"ID792"	1e+08	856450.876703	6291297.18568999	857038.10373743	6291333.20554904
"311"	"ID793"	1e+08	866450.876703	6291297.18568999	863368.293903804	6289797.13939471
