"";"PLOT";"X5_min";"X10_min";"X15_min";"total";"year";"julian_date";"altitude";"PROPNATFOR"
"187";356;2;1;1;2;2005;325;612;1
"188";358;2;2;2;2;2005;348;444;1
"189";359;1;1;0;1;2005;348;486;1
"190";360;2;0;2;2;2005;321;950;1
"191";361;2;2;1;2;2005;328;336;1
"192";362;1;1;2;2;2005;321;966;1
"193";364;0;1;0;1;2005;325;690;1
"194";367;2;2;2;6;2005;326;376;1
"195";368;0;1;1;1;2005;325;525;1
"196";369;2;2;2;2;2005;328;406;0,0228845130388505
"197";370;2;1;1;2;2005;325;530;0,999745385105029
"198";371;4;4;4;5;2005;326;334;1
"199";374;1;0;0;1;2005;321;965;0,824907521578298
"200";375;3;2;3;5;2005;326;457;1
"201";376;1;1;0;2;2005;321;360;0,0733757961783439
"202";377;2;2;5;5;2005;326;269;1
"203";378;2;4;2;4;2005;321;493;0,141783439490446
"204";380;1;0;1;1;2005;321;558;0,134852922450019
"205";382;2;2;2;2;2005;321;567;0,141799232035107
"206";384;1;3;0;3;2005;321;533;0,139854795567444
"207";386;2;1;2;2;2005;321;451;0,142875334267159
"208";388;0;0;1;1;2005;325;300;0,0262463115390589
"209";390;1;2;3;3;2005;325;296;0,120550458715596
"210";392;1;0;2;3;2005;321;795;0,202670971529205
"211";400;4;4;4;4;2005;326;191;0
"212";401;1;1;1;2;2005;328;315;1
"213";402;1;3;3;3;2005;328;164;1
"214";403;1;1;3;3;2005;326;254;1
"215";404;3;1;2;3;2005;326;265;1
"216";405;3;2;4;4;2005;326;403;1
"217";408;4;5;5;6;2005;326;332;1
"218";409;5;3;3;5;2005;326;354;1
"219";411;0;2;2;2;2005;326;204;0
"220";412;1;2;1;2;2005;326;179;0
"221";420;1;1;1;2;2005;328;320;1
"222";421;3;3;2;4;2005;328;274;1
"223";422;1;2;0;2;2005;328;258;0
"224";423;2;0;0;2;2005;328;273;0
"225";424;2;3;1;3;2005;328;402;0
"226";425;0;0;1;1;2005;328;332;0
"227";426;0;1;3;3;2005;328;282;0
"228";427;2;2;1;2;2005;328;329;0
"229";428;2;2;1;2;2005;328;397;0,00209863588667366
"230";430;4;2;0;4;2005;333;174;1
"231";431;2;3;2;3;2005;333;209;1
"232";432;1;1;2;2;2005;333;158;1
"233";433;0;0;1;1;2005;333;186;0,403314917127072
"234";434;2;3;1;3;2005;333;258;1
"235";435;3;3;2;3;2005;333;172;1
"236";436;1;1;2;2;2005;333;151;0,949152542372881
"237";437;1;1;2;3;2005;333;170;0,497674418604651
"238";438;2;1;1;2;2005;333;143;0,602040816326531
"239";451;1;1;0;1;2005;333;263;0,864197530864197
"240";452;1;1;1;1;2005;333;225;0,564516129032258
"241";460;1;1;2;2;2005;335;345;0,94256120527307
"242";461;1;3;2;3;2005;335;345;0,658771929824561
"243";462;1;1;0;2;2005;335;329;0,900558659217877
"244";463;4;3;2;4;2005;335;341;0,894277400581959
"245";464;1;2;0;2;2005;335;316;1
"246";467;1;1;1;2;2005;335;604;0,570093457943925
"247";470;1;2;1;2;2005;335;291;0,258948545861298
"248";471;2;2;2;3;2005;335;364;0,203898050974513
"249";476;2;1;0;2;2005;335;148;0,190739167374681
"250";477;4;4;4;4;2005;335;162;0,627848891664065
"251";478;1;0;2;3;2005;335;398;0,140419947506562
"252";481;1;0;0;1;2005;335;509;1
"253";483;1;0;0;1;2005;334;207;1
"254";484;1;0;1;2;2005;335;243;1
"255";485;2;1;2;3;2005;335;240;1
"256";486;2;1;0;2;2005;334;478;1
"257";490;2;4;2;4;2005;333;91;0,549707602339181
"258";491;2;4;4;4;2005;333;143;1
"259";492;2;3;1;3;2005;333;117;0,677018633540373
"260";493;2;1;1;2;2005;333;101;1
"261";494;4;4;3;4;2005;333;265;1
"262";495;2;1;0;2;2005;333;232;1
"263";496;1;2;2;2;2005;333;136;0,794326241134752
"264";510;1;1;1;1;2005;352;426;0,866056572379368
"265";511;0;0;1;1;2005;352;415;0,776209677419355
"266";512;2;3;2;4;2005;352;233;0,153356197942185
"267";514;0;0;1;1;2005;352;173;0
