ID;X;Y
ID181;359313.382203283;7653848.11745304
ID182;359729.213703619;7651595.23638787
ID183;321399.563168778;7661471.11001499
ID184;321349.267573151;7661695.72138538
ID185;321175.927352804;7661457.02427264
ID186;321564.028018491;7661624.80280494
ID187;321613.332996245;7661941.6960943
ID188;320658.852256671;7661235.14247625
ID189;320617.785095714;7661528.13163183
ID19;351770.168841271;7654068.01745336
ID190;322131.639182318;7661608.84421772
ID191;322017.171567334;7661496.76447677
ID192;321799.205967951;7661393.93898728
ID193;321086.06356378;7661802.60371428
ID194;320746.243596667;7661763.67466034
ID195;320681.915378805;7662588.60426936
ID196;320651.834744543;7662228.95624385
ID197;320949.28594746;7662214.57207753
ID198;321235.779531753;7662239.93783102
ID199;321548.561587051;7662521.14273047
ID2;354407.522190167;7649747.23264712
ID20;351589.843997302;7653701.07926035
ID200;321932.306656799;7662780.53146048
ID201;321208.873060641;7662664.10072866
ID202;320003.159181467;7663425.67466686
ID203;320126.133391439;7664461.82134449
ID204;320712.204434223;7664575.26058334
ID205;320479.976134513;7663902.25877453
ID206;320810.213362839;7663750.77135508
ID207;321260.987905492;7663695.25909702
ID208;320546.97646791;7663574.04736251
ID209;319969.755960534;7663941.78259639
ID21;351658.396253307;7653314.87834864
ID210;320310.842425986;7664781.28473046
ID211;321076.546774753;7664315.92412216
ID212;319799.570291257;7663000.10233006
ID213;320570.951776019;7663139.01594524
ID214;321543.441081949;7663177.72214498
ID215;320970.018630427;7662957.47397466
ID216;317858.510068682;7666163.79134844
ID217;318046.802098492;7666448.6179708
ID218;318605.339164204;7666254.83874898
ID219;319429.02561346;7665417.69303682
ID22;350995.861396437;7653971.37315492
ID220;318030.751063596;7665592.75694607
ID221;318381.487499354;7666031.72708839
ID222;318871.503065893;7665675.10151022
ID223;316939.378952355;7667490.21576985
ID224;316359.22597754;7668513.73698977
ID225;319647.738319991;7664642.86445572
ID226;319167.232150251;7664329.56175718
ID227;319466.012374678;7664239.57490656
ID228;321408.844626351;7667309.82711249
ID229;321962.993537222;7666325.03921859
ID23;350408.474497982;7653798.27627828
ID230;321276.828569952;7666542.87051712
ID231;322153.767339888;7666628.91463159
ID232;325663.993350379;7661600.65493916
ID233;325842.026595703;7661825.73113007
ID234;326028.820360477;7662011.77757445
ID235;326307.194608869;7662117.69868761
ID236;326670.259214279;7662278.85182194
ID237;327065.221281483;7662029.74709043
ID238;327127.80472142;7664278.82479726
ID239;326801.9903078;7664331.15952091
ID24;349679.945867595;7653445.14547823
ID240;324827.601919953;7663723.06864153
ID241;329280.560863101;7664202.36379787
ID242;328992.155926233;7664095.68352288
ID243;328675.444068021;7664226.03151814
ID244;328475.720679376;7664029.13920871
ID245;328191.814362911;7663792.4598769
ID246;327589.754466511;7663604.85440284
ID247;335829.969209912;7664362.44793022
ID248;335797.587759217;7664112.29629937
ID249;334738.751568197;7663505.78284726
ID25;348544.548065194;7652914.93584512
ID250;334390.508217837;7664661.4428315
ID251;333830.644531415;7665062.19067002
ID252;333525.040425198;7665496.01389821
ID253;327402.392781468;7663873.75645639
ID254;327259.565905311;7663787.7383559
ID255;327000.300744583;7663731.81593727
ID256;327571.380132788;7669394.97065208
ID257;327214.074767426;7669430.18161456
ID258;328904.300654076;7668791.04225059
ID259;328995.62777442;7668412.33416641
ID26;348448.762854366;7652627.11999966
ID260;329668.615871929;7666878.40978245
ID261;329395.621651478;7667253.42259053
ID262;329783.621141184;7667400.88662784
ID263;329515.935404594;7668285.34637298
ID264;329368.372654142;7668263.99745178
ID265;329275.657950325;7668359.01322052
ID266;329683.695340153;7670674.12893022
ID267;330988.187692535;7670658.66131395
ID268;331589.929265046;7670274.12254918
ID269;331001.846775342;7670408.77953091
ID27;348426.583695899;7652028.4898194
ID270;330901.324276724;7661567.02135047
ID271;331783.904806837;7661735.87974818
ID272;332333.357973022;7661719.53383892
ID273;332877.759949193;7661946.86714172
ID274;330455.598897391;7661386.12655684
ID275;330124.628750101;7661370.16993554
ID276;330010.947200669;7663992.07302274
ID277;330085.818739681;7665175.76578628
ID278;329970.061883615;7665796.96442545
ID279;329658.249612384;7665610.84076456
ID28;347854.051203005;7652661.22533359
ID280;331129.283462936;7665443.22513498
ID281;329195.087728351;7663961.01612233
ID282;325594.014463619;7663070.32361643
ID283;326466.370499614;7664390.53397206
ID284;326203.239323237;7664193.15519817
ID285;325616.680163671;7663880.32096697
ID286;325553.94566124;7664369.60720652
ID287;325931.055168;7664415.58624558
ID288;326872.140202507;7665351.52208811
ID289;326578.902023722;7665423.7986782
ID29;347188.583830233;7652501.06885534
ID290;326382.320006987;7665067.08352869
ID291;319262.946366579;7670136.01226311
ID292;320097.97988152;7669446.49557907
ID293;320971.364198697;7669644.35085947
ID294;321952.941557637;7668972.81984256
ID295;323001.134471401;7668130.15388132
ID296;323807.32139967;7669446.201373
ID297;324462.866665757;7669938.90301279
ID298;324570.756920688;7670876.90915888
ID299;324909.170467106;7670699.85028379
ID3;353742.906033755;7650165.46528997
ID30;346695.860757257;7652936.71156703
ID300;325162.070182665;7671108.92195417
