"ACTR"	"CIMA"	"COCH"	"COCO"	"COFR"	"ESAS"	"FOMA"	"FRPO"	"GEST"	"HYBO"	"MAMA"	"PADO"	"PEAS"	"PHBO"	"PLCU"	"PYJO"	"SATE"	"STPI"	"TEBO"	"TUNI"	"ZOBO"	"ZOOL"
"118"	3	0	0	0	0	0	6	0	0	2	0	0	0	0	0	1	3	0	0	0	2	2
"119"	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	4	4
"120"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	4
"121"	3	0	0	0	0	3	4	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0
"122"	10	0	0	0	2	20	2	0	0	0	0	0	0	0	6	3	1	0	0	0	3	0
"123"	0	0	0	0	2	18	6	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0
"124"	3	0	0	0	3	2	6	0	5	0	0	2	0	0	1	6	0	0	0	0	8	0
"125"	0	0	0	1	4	10	4	0	3	0	0	0	0	0	10	6	0	1	0	0	0	0
"126"	3	0	0	0	2	4	4	0	14	0	0	2	0	0	3	10	0	1	0	0	7	0
"127"	2	0	0	0	0	5	3	0	1	0	0	11	0	0	4	3	0	0	0	0	0	0
"128"	0	0	0	0	0	17	2	0	1	0	0	4	0	0	0	3	0	0	0	0	0	0
"129"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"130"	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0
"131"	0	0	0	0	2	7	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"132"	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"133"	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0
"134"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"135"	11	0	0	0	0	1	17	0	6	0	0	3	0	0	0	1	0	0	0	0	0	0
"136"	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"137"	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"138"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"139"	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"140"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"141"	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
"142"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"143"	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"144"	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"145"	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
"146"	2	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
"147"	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
"148"	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
"149"	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0
"150"	2	0	0	0	0	14	2	0	2	0	0	2	0	0	2	3	2	0	0	1	2	0
"151"	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
