"PLOT"	"X5_min"	"X10_min"	"X15_min"	"total"	"year"	"julian_date"	"altitude"	"PROPNATFOR"
481	1	0	0	1	2005	335	509	1
483	1	0	0	1	2005	334	207	1
484	1	0	1	2	2005	335	243	1
485	2	1	2	3	2005	335	240	1
486	2	1	0	2	2005	334	478	1
490	2	4	2	4	2005	333	91	0.549707602339181
491	2	4	4	4	2005	333	143	1
492	2	3	1	3	2005	333	117	0.677018633540373
493	2	1	1	2	2005	333	101	1
494	4	4	3	4	2005	333	265	1
495	2	1	0	2	2005	333	232	1
496	1	2	2	2	2005	333	136	0.794326241134752
510	1	1	1	1	2005	352	426	0.866056572379368
511	0	0	1	1	2005	352	415	0.776209677419355
512	2	3	2	4	2005	352	233	0.153356197942185
514	0	0	1	1	2005	352	173	0
515	1	0	0	1	2005	352	157	0.179858934169279
516	2	1	3	4	2005	352	178	0.473244781783681
520	0	1	2	2	2005	352	120	0.188287764203995
521	3	4	4	4	2005	352	372	0.152610441767068
522	1	1	2	2	2005	332	77	0
523	2	2	1	5	2005	332	99	0
524	1	1	3	5	2005	332	107	0.145967166309779
525	1	3	2	6	2005	332	101	0
530	2	1	0	3	2005	335	67	0.686967910936477
531	2	0	2	3	2005	335	167	0.92588092345079
532	1	1	0	2	2005	335	244	1
540	2	3	2	3	2005	339	182	0.350045167118338
541	4	3	3	4	2005	339	179	0.727220956719818
542	1	0	0	1	2005	339	288	1
543	4	4	4	4	2005	339	265	1
544	2	2	2	3	2005	339	224	1
546	1	2	2	2	2005	339	179	0.438250096786682
547	2	1	2	2	2005	339	231	0.746113989637306
551	2	2	2	2	2005	342	127	0.0209839123338774
552	1	2	1	2	2005	341	323	0.827083333333333
553	2	2	2	2	2005	341	307	0.32621359223301
554	2	1	3	3	2005	341	463	1
555	1	1	0	1	2005	342	18	0.376139817629179
560	2	0	2	2	2005	334	436	1
561	1	1	0	1	2005	335	571	0.721006564551422
562	1	0	0	1	2005	334	296	1
563	2	2	2	2	2005	335	147	0.51424450054093
570	1	1	0	1	2005	353	634	1
