ID;X_L93;Y_L93
ID227;806450.876703;6431297.18568999
ID228;816450.876703;6431297.18568999
ID229;826450.876703;6431297.18568999
ID230;836450.876703;6431297.18568999
ID231;846450.876703;6431297.18568999
ID258;717545.05918421;6419648.13588922
ID259;726518.22619497;6421224.1979155
ID260;736450.876703;6421297.18568999
ID261;746450.876703;6421297.18568999
ID262;756450.876703;6421297.18568999
ID263;766450.876703;6421297.18568999
ID265;786450.876703;6421297.18568999
ID266;796450.876703;6421297.18568999
ID267;806450.876703;6421297.18568999
ID268;816450.876703;6421297.18568999
ID269;826450.876703;6421297.18568999
ID270;836450.876703;6421297.18568999
ID271;846450.876703;6421297.18568999
ID297;707921.27872576;6410752.61086747
ID298;716450.876703;6411297.18568999
ID299;726450.876703;6411297.18568999
ID300;736450.876703;6411297.18568999
ID301;746450.876703;6411297.18568999
ID302;756450.876703;6411297.18568999
ID303;766450.876703;6411297.18568999
ID304;776450.876703;6411297.18568999
ID305;786450.876703;6411297.18568999
ID306;796450.876703;6411297.18568999
ID307;806450.876703;6411297.18568999
ID308;816450.876703;6411297.18568999
ID309;826450.876703;6411297.18568999
ID310;836450.876703;6411297.18568999
ID311;846450.876703;6411297.18568999
ID337;706694.57754778;6401153.27463545
ID338;716450.876703;6401297.18568999
ID339;726450.876703;6401297.18568999
ID340;736450.876703;6401297.18568999
ID341;746450.876703;6401297.18568999
ID342;756450.876703;6401297.18568999
ID343;766450.876703;6401297.18568999
ID344;776450.876703;6401297.18568999
ID345;786450.876703;6401297.18568999
ID346;796450.876703;6401297.18568999
ID347;806450.876703;6401297.18568999
ID348;816450.876703;6401297.18568999
ID349;826450.876703;6401297.18568999
ID350;836450.876703;6401297.18568999
ID351;846450.876703;6401297.18568999
ID377;706754.66295629;6391607.07233023
ID378;716450.876703;6391297.18568999
ID379;726450.876703;6391297.18568999
ID380;736450.876703;6391297.18568999
ID381;746450.876703;6391297.18568999
ID382;756450.876703;6391297.18568999
ID383;766450.876703;6391297.18568999
ID384;776450.876703;6391297.18568999
ID385;786450.876703;6391297.18568999
ID386;796450.876703;6391297.18568999
ID387;806450.876703;6391297.18568999
ID388;816450.876703;6391297.18568999
ID389;826450.876703;6391297.18568999
ID390;836450.876703;6391297.18568999
ID391;846450.876703;6391297.18568999
ID417;708773.31516827;6381258.12833549
ID418;716450.876703;6381297.18568999
ID419;726450.876703;6381297.18568999
ID420;736450.876703;6381297.18568999
ID421;746450.876703;6381297.18568999
ID422;756450.876703;6381297.18568999
ID423;766450.876703;6381297.18568999
ID424;776450.876703;6381297.18568999
