;species;xcoord;ycoord
17495;TIMLEP;684972.4903;6180619.615
17496;TIMLEP;684584.8637;6180375.843
17497;TIMLEP;684527.7953;6179486.215
17498;TIMLEP;684466.357;6179174.943
17499;TIMLEP;695934.8515;6199576.015
17500;TIMLEP;697055.8874;6203367.343
17501;TIMLEP;698640.8237;6205857.643
17502;TIMLEP;698013.4054;6205513.096
17503;TIMLEP;698202.1692;6208693.233
17504;TIMLEP;682317.3451;6171761.62
17505;TIMLEP;681894.1781;6171327.346
17506;TIMLEP;682079.1533;6170049.493
17507;TIMLEP;767023.7249;6299736.546
17508;TIMLEP;745233.2879;6287631.028
17509;TIMLEP;744959.7192;6287896.098
17510;TIMLEP;745248.8202;6287637.033
17511;TIMLEP;745369.9403;6287498.691
17512;TIMLEP;745007.1821;6287518.272
17513;TIMLEP;746772.9123;6275793.068
17514;TIMLEP;745253.833;6287653.593
17515;TIMLEP;752159.3949;6300932.74
17516;TIMLEP;761815.3154;6313339.934
17517;TIMLEP;739227.5767;6313566.818
17518;TIMLEP;737757.8728;6312460.454
17519;TIMLEP;739265.1146;6313681.868
17520;TIMLEP;745226.6193;6315372.504
17521;TIMLEP;708212.9425;6150267.823
17522;TIMLEP;709024.5826;6150746.203
17523;TIMLEP;705605.5369;6222184.213
17524;TIMLEP;706434.1233;6221395.816
17525;TIMLEP;738382.1029;6261960.448
17526;TIMLEP;744998.4383;6254812.662
17527;TIMLEP;749528.1113;6268711.542
17528;TIMLEP;750921.4781;6262444.495
17529;TIMLEP;748817.5823;6264931.015
17530;TIMLEP;742364.5922;6268493.968
17531;TIMLEP;703142.6892;6241325.568
17532;TIMLEP;798854.8082;6299141.514
17533;TIMLEP;742242.7703;6276694.765
17534;TIMLEP;750806.9563;6266098.991
17535;TIMLEP;790068.4442;6291879.682
17536;TIMLEP;790068.7113;6291879.408
17537;TIMLEP;696823.4954;6221293.284
17538;TIMLEP;696662.006;6219982.715
17539;TIMLEP;691709.6011;6225378.612
17540;TIMLEP;692908.9913;6223827.687
17541;TIMLEP;691677.2442;6225292.689
17542;TIMLEP;696366.1788;6220658.417
17543;TIMLEP;707631.5589;6232626.904
17544;TIMLEP;707733.9823;6231639.092
17545;TIMLEP;707734.0535;6231579.95
17546;TIMLEP;707734.0535;6231579.95
17547;TIMLEP;686220.1271;6214492.857
17548;TIMLEP;695766.5491;6219547.651
17549;TIMLEP;776764.0324;6285074.693
17550;TIMLEP;802560.2388;6312779.648
17551;TIMLEP;802518.8817;6312753.418
17552;TIMLEP;698199.2206;6258672.96
17553;TIMLEP;662047.9752;6247184.462
17554;TIMLEP;660196.2467;6246450.964
17555;TIMLEP;662635.9713;6249272.862
17556;TIMLEP;660892.062;6246443.184
17557;TIMLEP;677528.3901;6169496.376
17558;TIMLEP;798982.9029;6295967.804
17559;TIMLEP;766229.6803;6272057.963
17560;TIMLEP;766263.7497;6272047.201
17561;TIMLEP;766245.2711;6272035.894
17562;TIMLEP;766158.4234;6272068.339
17563;TIMLEP;707739.5489;6224293.604
17564;TIMLEP;766117.4185;6271890.073
17565;TIMLEP;707951.8895;6224489.2
17566;TIMLEP;817591.1916;6312800.448
17567;TIMLEP;758248.9177;6272593.556
17568;TIMLEP;707734.0401;6224298.881
17569;TIMLEP;780936.2336;6351412.28
17570;TIMLEP;817607.6897;6312734.072
17571;TIMLEP;816244.1955;6312419.98
17572;TIMLEP;759390.108;6312185.459
17573;TIMLEP;756011.1735;6292731.848
17574;TIMLEP;758283.5889;6304577.303
17575;TIMLEP;758452.2944;6305212.28
17576;TIMLEP;676455.8911;6168443.482
17577;TIMLEP;767263.5613;6270660.472
17578;TIMLEP;762237.0774;6287769.371
17579;TIMLEP;758027.1611;6305175.043
17580;TIMLEP;819741.0925;6297247.306
17581;TIMLEP;756207.8945;6292471.009
17582;TIMLEP;707651.417;6224348.36
17583;TIMLEP;756485.476;6292808.389
17584;TIMLEP;675885.1614;6168512.317
17585;TIMLEP;756414.7253;6292989.689
17586;TIMLEP;800153.3238;6295975.014
17587;TIMLEP;781476.4387;6350657.493
17588;TIMLEP;681842.0786;6265801.525
17589;TIMLEP;766290.8319;6271620.276
17590;TIMLEP;756453.4772;6292627.4
17591;TIMLEP;756250.5207;6293123.486
17592;TIMLEP;708039.5302;6224434.737
17593;TIMLEP;734267.6823;6253648.024
17594;TIMLEP;781119.0321;6350765.324
17595;TIMLEP;727813.8119;6284917.427
17596;TIMLEP;727630.9912;6284842.17
